date,Brazil
1999-01-30,26838.022
1999-02-27,26277.5606
1999-03-27,29933.8598
1999-04-24,28201.18034
1999-05-29,28549.33024
1999-06-26,27884.2693
1999-07-31,28840.8878
1999-08-28,29218.3527
1999-09-25,28684.6879
1999-10-30,29254.86164
1999-11-27,28279.2011
1999-12-25,29569.09873
2000-01-29,29622.84374777
2000-02-26,28685.2080976
2000-03-25,30527.99737034
2000-04-29,29262.9227
2000-05-27,30192.4009
2000-06-24,28871.1488
2000-07-29,29064.36283
2000-08-26,29820.3242
2000-09-30,29291.30306034
2000-10-28,31633.98488219
2000-11-25,29949.80452
2000-12-30,30327.02004
2001-01-27,31649.32418
2001-02-24,29668.75133
2001-03-31,32993.53587
2001-04-28,30783.49412
2001-05-26,29398.87969
2001-06-30,23909.01671
2001-07-28,24550.52539
2001-08-25,24828.09667
2001-09-29,23816.541
2001-10-27,25832.3757582
2001-11-24,25183.94356
2001-12-29,26008.32278
2002-01-26,26965.32744
2002-02-23,25467.40564
2002-03-30,29904.07485
2002-04-27,29447.556593
2002-05-25,29303.282367
2002-06-29,28106.04059808
2002-07-27,28989.58237933
2002-08-31,29832.8193716
2002-09-28,28678.75387
2002-10-26,31652.70333887
2002-11-30,30200.3665617
2002-12-28,30694.95182
2003-01-25,31101.70275
2003-02-22,29465.36993
2003-03-29,31516.2781
2003-04-26,30309.697404
2003-05-31,30485.711463
2003-06-28,29353.033299
2003-07-26,30373.84776
2003-08-30,30424.04673
2003-09-27,30359.16276
2003-10-25,32034.28729
2003-11-29,31163.667405
2003-12-27,32033.99472
2004-01-31,31702.610498
2004-02-28,30150.92329
2004-03-27,33231.49730041
2004-04-24,31957.97505
2004-05-29,32303.55209
2004-06-26,31241.803044
2004-07-31,32269.4541348
2004-08-28,32857.452791
2004-09-25,32805.717326
2004-10-30,33284.74633
2004-11-27,32695.65409637
2004-12-25,33590.16775
2005-01-29,34199.48606
2005-02-26,31480.40358
2005-03-26,35584.44314
2005-04-30,33945.20939
2005-05-28,33530.11803
2005-06-25,32508.973826
2005-07-30,32835.22999
2005-08-27,34105.000065
2005-09-24,32923.600887
2005-10-29,34765.97442702
2005-11-26,33458.731609
2005-12-31,34469.954286
2006-01-28,35813.59916
2006-02-25,33007.359788
2006-03-25,37417.70263
2006-04-29,34110.42532
2006-05-27,34474.33364883
2006-06-24,33394.96494
2006-07-29,34575.25282
2006-08-26,35728.67876
2006-09-30,34076.294154
2006-10-28,35650.97049591
2006-11-25,34982.79178696
2006-12-30,36237.41131
2007-01-27,36941.10554
2007-02-24,33848.9923
2007-03-31,38957.227076
2007-04-28,36314.85739
2007-05-26,36359.17649
2007-06-30,35060.739705
2007-07-28,36602.534631
2007-08-25,37583.549904
2007-09-29,36080.236958
2007-10-27,38343.06517438
2007-11-24,36674.45219
2007-12-29,37895.54972
2008-01-26,38205.47759
2008-02-23,36258.08002
2008-03-29,39031.35577
2008-04-26,37689.96032
2008-05-31,37826.50225
2008-06-28,37334.37812
2008-07-26,37668.55486
2008-08-30,38634.44311
2008-09-27,37281.29492
2008-10-25,39588.3990709
2008-11-29,36844.26131
2008-12-27,36050.24485
2009-01-31,36647.46863096
2009-02-28,34803.96428
2009-03-28,39769.45169
2009-04-25,36159.38305
2009-05-30,36615.84043
2009-06-27,35093.226878
2009-07-25,37081.28727
2009-08-29,37375.67764
2009-09-26,37257.3887848
2009-10-31,38658.00038472
2009-11-28,39161.7717
2009-12-26,39559.89239
2010-01-30,40657.59962045
2010-02-27,38598.14119
2010-03-27,42589.65583
2010-04-24,38805.879829
2010-05-29,39474.08598528
2010-06-26,38001.9495
2010-07-31,39956.07668
2010-08-28,40229.53069
2010-09-25,39729.9836
2010-10-30,40540.57713086
2010-11-27,39716.56466
2010-12-25,41721.06228
2011-01-29,42386.32411
2011-02-26,40044.0185512
2011-03-26,42721.33886313
2011-04-30,40797.52498
2011-05-28,40884.63355
2011-06-25,39533.57928
2011-07-30,41229.49878
2011-08-27,42783.61802
2011-09-24,41115.81673
2011-10-29,42117.83996523
2011-11-26,41193.95076
2011-12-31,43107.84927
2012-01-28,43460.690629
2012-02-25,43048.150002
2012-03-31,46609.191665
2012-04-28,43066.407616
2012-05-26,42546.443381
2012-06-30,40610.10185878
2012-07-28,41620.138114
2012-08-25,42864.61206946
2012-09-29,42015.130699
2012-10-27,44674.59816423
2012-11-24,42175.17730066
2012-12-29,45206.043284
2013-01-26,44844.942198
2013-02-23,42361.857221
2013-03-30,46123.239235
2013-04-27,43425.949866
2013-05-25,43358.63580863
2013-06-29,41566.598235
2013-07-27,43480.648229
2013-08-31,44665.20259242
2013-09-28,43850.8125247
2013-10-26,46037.50195159
2013-11-30,44768.709388
2013-12-28,46207.5997393
2014-01-25,49860.11551866
2014-02-22,46601.62669631
2014-03-29,48618.62639497
2014-04-26,45312.98275902
2014-05-31,44760.98400033
2014-06-28,42172.07286554
2014-07-26,43680.94831518
2014-08-30,44044.08162966
2014-09-27,44274.60657692
2014-10-25,46760.73587123
2014-11-29,44939.24716327
2014-12-27,46177.33286192
2015-01-31,51604.12947187
2015-02-28,45611.13306583
2015-03-28,49839.65995082
2015-04-25,46432.30205053
2015-05-30,46134.19362423
2015-06-27,44104.5832796
2015-07-25,45542.29251467
2015-08-29,46236.08630978
2015-09-26,46090.07320505
2015-10-31,49022.03174406
2015-11-28,47083.80904468
2015-12-26,48273.57738601
2016-01-30,47741.95756758
2016-02-27,47499.86423762
2016-03-26,50000.01182782
2016-04-30,49056.91640811
2016-05-28,46699.8052408
2016-06-25,44813.18789971
2016-07-30,46077.02787972
2016-08-27,47025.72922812
2016-09-24,45811.18038708
2016-10-29,47701.42814255
2016-11-26,46727.57499229
2016-12-31,48420.05317151
2017-01-28,50794.54527658
2017-02-25,46980.13176239
2017-03-25,51332.86173666
2017-04-29,46500.21158735
2017-05-27,47524.17254907
2017-06-24,45368.05291045
2017-07-29,45482.20853207
2017-08-26,46851.03129382
2017-09-30,46752.90304667
2017-10-28,49179.3671754
2017-11-25,47312.93016457
2017-12-30,49523.36398056
2018-01-27,51008.30010201
2018-02-24,46009.67774564
2018-03-31,52572.52575664
2018-04-28,48582.37282465
2018-05-26,47458.55493673
2018-06-30,45731.73999353
2018-07-28,47215.68074413
2018-08-25,47864.04463744
2018-09-29,46620.19867607
2018-10-27,49872.2722053
2018-11-24,48532.86424203
2018-12-29,50437.00028427
2019-01-26,54346.97329792
2019-02-23,48203.66973122
2019-03-30,51414.80626364
2019-04-27,49437.44088858
2019-05-25,49794.58222987
2019-06-29,46085.11757221
2019-07-27,46949.34557942
2019-08-31,47619.06584407
2019-09-28,47995.07035644
2019-10-26,51592.27840538
2019-11-30,49576.57318372
2019-12-28,50557.86156149
2020-01-25,52544.79621751
2020-02-29,49583.68304242
2020-03-28,51026.56288425
2020-04-25,43708.3601423
2020-05-30,44622.48771362
2020-06-27,44416.4304661
2020-07-25,47324.59054382
2020-08-29,48146.10123468
2020-09-26,49867.2264302
2020-10-31,52477.50384412
2020-11-28,48857.69465734
2020-12-26,51840.00519624
2021-01-30,53142.20404165
2021-02-27,48404.39743525
2021-03-27,54053.05277758
2021-04-24,49558.21423318
2021-05-29,50292.2282338
2021-06-26,47737.5237022
2021-07-31,48214.31936555
2021-08-28,49321.28815978
2021-09-25,49602.87716483
2021-10-30,50376.05058384
2021-11-27,49958.50155205
2021-12-25,52257.21485208
