date,Brazil
1981-01-31,87939
1981-02-28,65251
1981-03-28,64065
1981-04-25,69042
1981-05-30,62966
1981-06-27,61271
1981-07-25,60824
1981-08-29,63871
1981-09-26,64828
1981-10-31,63211
1981-11-28,61129
1981-12-26,68939
1982-01-30,62413
1982-02-27,65785
1982-03-27,74433
1982-04-24,67611
1982-05-29,64058
1982-06-26,69819
1982-07-31,72763
1982-08-28,75621
1982-09-25,70051
1982-10-30,78656
1982-11-27,74537
1982-12-25,90689
1983-01-29,72742
1983-02-26,65329
1983-03-26,81590
1983-04-30,78892
1983-05-28,85888
1983-06-25,66684
1983-07-30,66154
1983-08-27,84887
1983-09-24,73208
1983-10-29,74774
1983-11-26,65234
1983-12-31,84318
1984-01-28,57828
1984-02-25,67390
1984-03-31,68634
1984-04-28,70502
1984-05-26,76975
1984-06-30,80528
1984-07-28,65614
1984-08-25,81293
1984-09-29,73075
1984-10-27,80491
1984-11-24,82227
1984-12-29,70576
1985-01-26,73235
1985-02-23,73062
1985-03-30,87529
1985-04-27,35585
1985-05-25,53564
1985-06-29,65961
1985-07-27,96884
1985-08-31,94521
1985-09-28,100791
1985-10-26,109925
1985-11-30,98473
1985-12-28,82176
1986-01-25,67279
1986-02-22,85928
1986-03-29,101308
1986-04-26,99532
1986-05-31,104013
1986-06-28,94852
1986-07-26,89640
1986-08-30,79848
1986-09-27,101590
1986-10-25,96161
1986-11-29,47373
1986-12-27,82852
1987-01-31,55514
1987-02-28,71836
1987-03-28,62146
1987-04-25,90219
1987-05-30,83080
1987-06-27,76308
1987-07-25,89377
1987-08-29,84187
1987-09-26,68393
1987-10-31,83236
1987-11-28,78001
1987-12-26,84866
1988-01-30,68296
1988-02-27,77539
1988-03-26,97148
1988-04-30,82808
1988-05-28,91015
1988-06-25,96372
1988-07-30,90639
1988-08-27,105806
1988-09-24,83511
1988-10-29,89476
1988-11-26,90295
1988-12-31,95310
1989-01-28,76914
1989-02-25,80142
1989-03-25,83187
1989-04-29,56682
1989-05-27,76767
1989-06-24,98129
1989-07-29,98768
1989-08-26,105450
1989-09-30,89659
1989-10-28,84290
1989-11-25,66432
1989-12-30,99140
1990-01-27,80051
1990-02-24,74796
1990-03-31,51649
1990-04-28,52484
1990-05-26,82921
1990-06-30,53921
1990-07-28,51013
1990-08-25,100175
1990-09-29,86686
1990-10-27,96256
1990-11-24,87572
1990-12-29,82454
1991-01-26,64632
1991-02-23,57466
1991-03-30,78479
1991-04-27,51213
1991-05-25,69458
1991-06-29,88074
1991-07-27,100819
1991-08-31,99800
1991-09-28,89892
1991-10-26,98548
1991-11-30,89017
1991-12-28,76515
1992-01-25,62809
1992-02-29,73999
1992-03-28,58145
1992-04-25,99122
1992-05-30,90598
1992-06-27,93727
1992-07-25,100980
1992-08-29,100608
1992-09-26,99166
1992-10-31,103906
1992-11-28,101190
1992-12-26,90611
1993-01-30,62219
1993-02-27,73733
1993-03-27,100214
1993-04-24,87749
1993-05-29,102329
1993-06-26,103162
1993-07-31,105999
1993-08-28,115496
1993-09-25,106622
1993-10-30,109245
1993-11-27,106717
1993-12-25,100828
1994-01-29,89072
1994-02-26,92562
1994-03-26,122703
1994-04-30,98115
1994-05-28,116741
1994-06-25,110424
1994-07-30,112952
1994-08-27,127613
1994-09-24,106604
1994-10-29,108550
1994-11-26,125024
1994-12-31,113067
1995-01-28,75169
1995-02-25,109222
1995-03-25,130951
1995-04-29,116006
1995-05-27,135231
1995-06-24,137623
1995-07-29,107161
1995-08-26,143484
1995-09-30,125596
1995-10-28,129623
1995-11-25,130905
1995-12-30,112287
1996-01-27,96838
1996-02-24,120398
1996-03-30,137281
1996-04-27,126432
1996-05-25,139516
1996-06-29,122437
1996-07-27,150328
1996-08-31,153925
1996-09-28,148772
1996-10-26,149587
1996-11-30,148279
1996-12-28,127558
1997-01-25,126150
1997-02-22,134349
1997-03-29,154748
1997-04-26,171161
1997-05-31,162206
1997-06-28,168403
1997-07-26,157569
1997-08-30,170974
1997-09-27,182044
1997-10-25,183502
1997-11-29,135546
1997-12-27,102689
1998-01-31,106457
1998-02-28,103225
1998-03-28,149939
1998-04-25,136064
1998-05-30,148750
1998-06-27,138217
1998-07-25,111121
1998-08-29,155850
1998-09-26,120346
1998-10-31,92875
1998-11-28,82152
1998-12-26,85997
1999-01-30,83451
1999-02-27,45676
1999-03-27,137055
1999-04-24,117611
1999-05-29,115831
1999-06-26,109000
1999-07-31,116877
1999-08-28,132350
1999-09-25,132069
1999-10-30,100210
1999-11-27,97034
1999-12-25,98968
2000-01-29,92568
2000-02-26,122777
2000-03-25,128760
2000-04-29,126873
2000-05-27,144805
2000-06-24,136402
2000-07-29,138177
2000-08-26,151264
2000-09-30,139515
2000-10-28,141870
2000-11-25,137351
2000-12-30,140844
2001-01-27,115748
2001-02-24,131183
2001-03-31,172148
2001-04-28,163458
2001-05-26,168929
2001-06-30,147406
2001-07-28,130769
2001-08-25,134288
2001-09-29,112727
2001-10-27,125537
2001-11-24,137434
2001-12-29,131611
2002-01-26,111972
2002-02-23,102402
2002-03-30,132300
2002-04-27,146984
2002-05-25,138361
2002-06-29,119228
2002-07-27,141569
2002-08-31,138805
2002-09-28,146443
2002-10-26,158670
2002-11-30,146321
2002-12-28,145868
2003-01-25,120511
2003-02-22,131846
2003-03-29,125162
2003-04-26,130799
2003-05-31,126942
2003-06-28,134293
2003-07-26,139354
2003-08-30,135266
2003-09-27,164582
2003-10-25,180317
2003-11-29,161692
2003-12-27,196781
2004-01-31,134685
2004-02-28,128608
2004-03-27,182874
2004-04-24,148432
2004-05-29,161223
2004-06-26,178507
2004-07-31,183048
2004-08-28,186469
2004-09-25,181598
2004-10-30,191902
2004-11-27,185596
2004-12-25,219710
2005-01-29,142649
2005-02-26,160239
2005-03-26,203767
2005-04-30,194870
2005-05-28,201786
2005-06-25,211513
2005-07-30,198678
2005-08-27,205944
2005-09-24,201774
2005-10-29,184380
2005-11-26,210299
2005-12-31,234740
2006-01-28,172049
2006-02-25,177970
2006-03-25,205340
2006-04-29,175124
2006-05-27,207763
2006-06-24,189024
2006-07-29,211912
2006-08-26,215046
2006-09-30,202481
2006-10-28,212845
2006-11-25,214091
2006-12-30,236072
2007-01-27,169732
2007-02-24,184424
2007-03-31,230168
2007-04-28,209883
2007-05-26,247877
2007-06-30,229032
2007-07-28,264389
2007-08-25,262409
2007-09-29,232474
2007-10-27,276969
2007-11-24,255412
2007-12-29,257383
2008-01-26,230533
2008-02-23,222772
2008-03-29,253862
2008-04-26,279071
2008-05-31,254773
2008-06-28,278951
2008-07-26,302426
2008-08-30,262730
2008-09-27,279700
2008-10-25,256043
2008-11-29,191825
2008-12-27,201098
2009-01-31,176538
2009-02-28,191436
2009-03-28,262312
2009-04-25,228987
2009-05-30,246261
2009-06-27,291189
2009-07-25,267502
2009-08-29,255989
2009-09-26,293360
2009-10-31,281965
2009-11-28,246756
2009-12-26,277910
2010-01-30,206332
2010-02-27,219605
2010-03-27,342444
2010-04-24,260380
2010-05-29,253529
2010-06-26,257510
2010-07-31,286766
2010-08-28,298342
2010-09-25,294786
2010-10-30,295061
2010-11-27,312335
2010-12-25,330353
2011-01-29,218124
2011-02-26,259362
2011-03-26,286677
2011-04-30,276052
2011-05-28,288847
2011-06-25,272265
2011-07-30,285747
2011-08-27,300842
2011-09-24,278138
2011-10-29,262554
2011-11-26,294699
2011-12-31,305230
2012-01-28,233989
2012-02-25,224753
2012-03-31,271395
2012-04-28,249016
2012-05-26,250488
2012-06-30,317678
2012-07-28,323945
2012-08-25,383535
2012-09-29,261195
2012-10-27,323700
2012-11-24,289886
2012-12-29,327474
2013-01-26,282886
2013-02-23,220859
2013-03-30,277268
2013-04-27,325865
2013-05-25,308411
2013-06-29,311929
2013-07-27,332087
2013-08-31,330843
2013-09-28,295873
2013-10-26,319795
2013-11-30,289998
2013-12-28,329800
2014-01-25,270371
2014-02-22,240940
2014-03-29,224390
2014-04-26,278813
2014-05-31,275580
2014-06-28,241078
2014-07-26,276470
2014-08-30,254897
2014-09-27,270602
2014-10-25,277986
2014-11-29,272772
2014-12-27,331309
2015-01-31,224445
2015-02-28,186189
2015-03-28,229048
2015-04-25,213721
2015-05-30,221076
2015-06-27,227615
2015-07-25,218232
2015-08-29,208294
2015-09-26,201206
2015-10-31,201956
2015-11-28,203465
2015-12-26,236702
2016-01-30,154012
2016-02-27,161434
2016-03-26,194841
2016-04-30,181306
2016-05-28,194266
2016-06-25,196257
2016-07-30,202981
2016-08-27,200768
2016-09-24,177755
2016-10-29,177315
2016-11-26,214373
2016-12-31,238120
2017-01-28,168532
2017-02-25,188386
2017-03-25,237531
2017-04-29,200561
2017-05-27,247877
2017-06-24,242295
2017-07-29,229622
2017-08-26,260325
2017-09-30,239083
2017-10-28,243720
2017-11-25,255704
2017-12-30,247998
2018-01-27,206675
2018-02-24,204831
2018-03-31,250423
2018-04-28,263490
2018-05-26,236388
2018-06-30,240714
2018-07-28,239856
2018-08-25,274312
2018-09-29,226447
2018-10-27,264434
2018-11-24,239547
2018-12-29,237798
2019-01-26,206117
2019-02-23,217205
2019-03-30,225302
2019-04-27,240679
2019-05-25,261975
2019-06-29,240912
2019-07-27,260581
2019-08-31,253601
2019-09-28,246657
2019-10-26,258149
2019-11-30,250458
2019-12-28,262068
2020-01-25,191704
2020-02-29,217602
2020-03-28,177232
